filename,Demo-ResponseID,Stats-Q_TotalDuration,Stats-dataset_count,Stats-CompensationCondition,Stats-ResearcherCode,Stats-Group,Stats-BrowserName,Stats-BrowserVersion,Stats-OperatingSystem,Stats-ScreenResolution,Stats-FlashVersion,Stats-JavaSupport,Stats-UserAgent,Stats-Course,Demo-age,Demo-gender,Demo-lang,Demo-lang_TEXT,Demo-educ,Demo-educ_TEXT,Demo-acfield,Demo-acfieldother,Demo-dailytech_Computer,Demo-dailytech_Tablet,Demo-dailytech_SmartPhone,Demo-weeklygaming,Demo-expdataanal,Demo-expdatavis,Demo-expreadnetvis,Demo-expcreatenetvis,Demo-addlcomments,NetVisExperience
FacultyGrad,R_2PpXjyz0koI7rkE,1405,3,GiftCard,724669,circle,Firefox,56.0,Macintosh,1680x1050,-1,NA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0,NA,33,Male,English,NA,Master’s degree,NA,Computer sciences,NA,10,2,1,1,A lot,A little,A little,A little,NA,High
FacultyGrad,R_2Wu1IecDGOrW6TA,521,3,GiftCard,606305,control,Safari,11.0,Macintosh,2560x1440,-1,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38",NA,58,Male,English,NA,Doctorate degree,NA,Biology,NA,8,1,1,0,A lot,Some,A little,None,NA,High
FacultyGrad,R_210nAT4x28G5Iql,1102,3,Donation,979894,openord,Firefox,55.0,Windows NT 10.0,1920x1080,-1,NA,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0,NA,38,Male,English,NA,Doctorate degree,NA,Sociology,NA,8,NA,1,0,A lot,Some,A little,None,NA,High
FacultyGrad,R_u2ZAG9wWFqQUpqx,968,3,Donation,802321,control,Firefox,55.0,Ubuntu,1920x1080,-1,NA,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:55.0) Gecko/20100101 Firefox/55.0,NA,30,Female,English,NA,Doctorate degree,NA,Mathematics,NA,16,NA,4,0,A little,A little,A little,A little,NA,High
FacultyGrad,R_6nWAKbKmX3ua29H,1078,3,GiftCard,756852,openord,Chrome,61.0.3163.100,Linux x86_64,1920x1080,-1,NA,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,28,Male,English,NA,Bachelor’s degree,NA,Information science,NA,12,NA,NA,12,A lot,A lot,A lot,A lot,NA,High
FacultyGrad,R_tMKqgcWt8N53RZv,872,3,GiftCard,247105,frucht,Firefox,56.0,Ubuntu,1920x1080,11.2.202,NA,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:56.0) Gecko/20100101 Firefox/56.0,NA,32,Male,Chinese,NA,Doctorate degree,NA,Computer sciences,NA,10,1,3,4,A lot,A lot,A lot,A lot,NA,High
FacultyGrad,R_2WI3e8puY6AMGOo,949,3,GiftCard,543143,circle,Chrome,61.0.3163.100,Windows NT 10.0,1536x864,-1,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,26,Male,English,NA,Master’s degree,NA,Physics,NA,8,NA,1,0,A little,None,A little,None,NA,High
FacultyGrad,R_upL4yCeoqlLiV4R,1414,3,GiftCard,306549,frucht,Firefox,55.0,Fedora,2560x1440,-1,NA,Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:55.0) Gecko/20100101 Firefox/55.0,NA,30,Male,English,NA,Doctorate degree,NA,Biology,NA,10,NA,6,3,Some,Some,A little,None,NA,High
FacultyGrad,R_3gSFL3vXpy1hmMd,708,3,GiftCard,465480,openord,Safari iPhone,11.0,iPhone,375x667,-1,NA,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0_2 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A421 Safari/604.1",NA,47,Female,English,NA,Doctorate degree,NA,Law,NA,8,4,3,2,A little,A little,None,None,NA,High
FacultyGrad,R_22LaNVUxSxEtSEu,439,3,Donation,693385,control,Firefox,56.0,Macintosh,2560x1440,-1,NA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:56.0) Gecko/20100101 Firefox/56.0,NA,47,Male,English,NA,Doctorate degree,NA,Computer sciences,NA,10,NA,7,0,A lot,Some,Some,A little,NA,High
