Demo-ResponseID,QType,Condition,Dataset,Attempt,DatasetOrder,TaskOrder,Click_X,Click_Y,MaxValue,NodeID,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted,NodeValue,Task,NodeRank,correct,Distance,RawDifference,AbsDifference,Percentage,LogError
R_1erX0bGLOVR8nZR,Exp,Phr,7,1,2,9,147,154,84,Ctrl_7_71_73.6,71,73.6,147.91666666666666,153.33333333333334,84,ClickHighDeg,1,TRUE,1.1334558757279403,0,0,0,0
R_1erX0bGLOVR8nZR,Exp,Phr,8,1,3,1,338,350,49,Ctrl_8_163.5_167.6,163.5,167.6,340.625,349.1666666666667,49,ClickHighDeg,1,TRUE,2.7541004782767846,0,0,0,0
R_1erX0bGLOVR8nZR,Training,Phr,0,1,0,2,392,472,6,Ctrl_0_188.9_226.1,188.9,226.1,393.5416666666667,471.0416666666667,4,ClickHighDeg,3,FALSE,1.815251742566003,-2,2,0.3333333333333333,0.47712125471966244
R_1eVIF7UtWqNpTNC,Exp,Ctrl,1,1,1,4,383,368,29,Ctrl_1_184.1_176.3,184.1,176.3,383.5416666666667,367.2916666666667,29,ClickHighDeg,1,TRUE,0.8917056066263589,0,0,0,0
R_1eVIF7UtWqNpTNC,Exp,Ctrl,3,1,3,7,340,287,10,Ctrl_3_163_138.2,163,138.2,339.5833333333333,287.9166666666667,10,ClickHighDeg,1,TRUE,1.0069204977995727,0,0,0,0
R_1eVIF7UtWqNpTNC,Exp,Ctrl,8,1,2,5,339,350,49,Ctrl_8_163.5_167.6,163.5,167.6,340.625,349.1666666666667,49,ClickHighDeg,1,TRUE,1.826217250067585,0,0,0,0
R_1eVIF7UtWqNpTNC,Training,Ctrl,0,1,0,2,480,359,6,Ctrl_0_230.5_172.2,230.5,172.2,480.2083333333333,358.75,6,ClickHighDeg,1,TRUE,0.3254270698294318,0,0,0,0
R_1eXgYncZtcsDztv,Exp,Cir,5,1,2,2,215,74,51,Cir_5_103.7_31.5,103.7,31.5,216.04166666666666,65.625,4,ClickHighDeg,9,FALSE,8.439531648405877,-47,47,0.9215686274509803,1.6812412373755872
R_1eXgYncZtcsDztv,Exp,Cir,7,1,1,1,677,276,84,Cir_7_329.7_130.6,329.7,130.6,686.875,272.0833333333333,2,ClickHighDeg,20,FALSE,10.623365887409598,-82,82,0.9761904761904762,1.919078092376074
R_1eXgYncZtcsDztv,Exp,Cir,9,1,3,2,599,590,34,Cir_9_292.174532952_286.01056492,292.174532952,286.01056492,608.69694365,595.8553435833333,3,ClickHighDeg,19,FALSE,11.327654860126911,-31,31,0.9117647058823529,1.505149978319906
