Demo-ResponseID,QType,Condition,Dataset,Task,Response,DatasetOrder,TaskOrder,CorrectAnswer,RawDifference,AbsDifference,Percentage,LogError,ClustConf
R_2b15UKnjwpnBStk,Exp,Ctrl,1,NumHighDegree,20,2,2,29,-9,9,0.3103448275862069,1,NA
R_p4wUuqXU6Gwvdsd,Exp,Ctrl,1,NumHighDegree,35,2,5,29,6,6,0.20689655172413793,0.8450980400142568,NA
R_3P655E62t7ufi2T,Exp,Ctrl,1,NumHighDegree,20,2,3,29,-9,9,0.3103448275862069,1,NA
R_9BSXN7lOzq3H5kd,Exp,Ctrl,1,NumHighDegree,25,1,2,29,-4,4,0.13793103448275862,0.6989700043360189,NA
R_2E66vKkii2jLqm7,Exp,Ctrl,1,NumHighDegree,15,2,8,29,-14,14,0.4827586206896552,1.1760912590556813,NA
R_33wqVd2VWgIIZxm,Exp,Ctrl,1,NumHighDegree,586,3,7,29,557,557,19.20689655172414,2.7466341989375787,NA
R_1LtYLpObTUqguYp,Exp,Ctrl,1,NumHighDegree,100,2,3,29,71,71,2.4482758620689653,1.8573324964312685,NA
R_3GpSsefaRA2fKPn,Exp,Ctrl,1,NumHighDegree,10,2,4,29,-19,19,0.6551724137931034,1.3010299956639813,NA
R_OvcnhhuTcC1NrUd,Exp,Ctrl,1,NumHighDegree,11,2,9,29,-18,18,0.6206896551724138,1.2787536009528289,NA
R_25ZAlyZ4JbMsmjY,Exp,Ctrl,1,NumHighDegree,40,2,4,29,11,11,0.3793103448275862,1.0791812460476249,NA
R_3D8EknclrlmOC7O,Exp,Ctrl,1,NumHighDegree,200,1,3,29,171,171,5.896551724137931,2.2355284469075487,NA
R_3q9GgzKbk1Otp5O,Exp,Ctrl,1,NumHighDegree,15,1,7,29,-14,14,0.4827586206896552,1.1760912590556813,NA
R_qU6wX1va4fIlkbv,Exp,Ctrl,1,NumHighDegree,40,1,3,29,11,11,0.3793103448275862,1.0791812460476249,NA
R_1HbfKcFKifrMMlc,Exp,Ctrl,1,NumHighDegree,20,3,8,29,-9,9,0.3103448275862069,1,NA
R_b7rKdHburf18qWJ,Exp,Ctrl,1,NumHighDegree,200,1,3,29,171,171,5.896551724137931,2.2355284469075487,NA
R_1GIwzHXFwM5GaAN,Exp,Ctrl,1,NumHighDegree,23,3,5,29,-6,6,0.20689655172413793,0.8450980400142568,NA
R_3CTSa5wMpWHZtWE,Exp,Ctrl,1,NumHighDegree,25,1,6,29,-4,4,0.13793103448275862,0.6989700043360189,NA
R_2anUpyXVLx94k1W,Exp,Ctrl,1,NumHighDegree,100,3,6,29,71,71,2.4482758620689653,1.8573324964312685,NA
R_2qa3hYvHBBxnKIN,Exp,Ctrl,1,NumHighDegree,22,1,6,29,-7,7,0.2413793103448276,0.9030899869919435,NA
R_SNTJVpXYyCDa1mp,Exp,Ctrl,1,NumHighDegree,22,1,7,29,-7,7,0.2413793103448276,0.9030899869919435,NA
R_2SccHh5ZoHws5d7,Exp,Ctrl,1,NumHighDegree,200,2,3,29,171,171,5.896551724137931,2.2355284469075487,NA
R_1C6ZLfppnr2hHJ3,Exp,Ctrl,1,NumHighDegree,25,3,9,29,-4,4,0.13793103448275862,0.6989700043360189,NA
R_8d1VqNkok6YG0zD,Exp,Ctrl,1,NumHighDegree,15,3,6,29,-14,14,0.4827586206896552,1.1760912590556813,NA
R_1PRB2ZJPaDyYg5u,Exp,Ctrl,1,NumHighDegree,550,1,3,29,521,521,17.96551724137931,2.717670503002262,NA
R_x8YEnmKnNoodq4p,Exp,Ctrl,1,NumHighDegree,20,1,5,29,-9,9,0.3103448275862069,1,NA
R_1eCxEeBOx2YYlnG,Exp,Ctrl,1,NumClust,3,2,4,3,0,0,0,0,Very confident (76-100%)
R_2CJlxPVOq40Kmxe,Exp,Ctrl,1,NumClust,1,2,1,3,-2,2,0.6666666666666666,0.47712125471966244,Very confident (76-100%)
R_24vK9Ysod7NA3HT,Exp,Ctrl,1,NumClust,2,2,3,3,-1,1,0.3333333333333333,0.3010299956639812,Very doubtful (0-25%)
R_3Jx9Rmx7OIyFX2Q,Exp,Ctrl,1,NumClust,4,1,2,3,1,1,0.3333333333333333,0.3010299956639812,Very confident (76-100%)
R_2Wu1IecDGOrW6TA,Exp,Ctrl,1,NumClust,4,3,9,3,1,1,0.3333333333333333,0.3010299956639812,Somewhat confident (51-75%)
R_u2ZAG9wWFqQUpqx,Exp,Ctrl,1,NumClust,1,3,8,3,-2,2,0.6666666666666666,0.47712125471966244,Somewhat confident (51-75%)
R_22LaNVUxSxEtSEu,Exp,Ctrl,1,NumClust,1,2,3,3,-2,2,0.6666666666666666,0.47712125471966244,Very confident (76-100%)
R_245HR5qf4i26YuB,Exp,Ctrl,1,NumClust,3,2,7,3,0,0,0,0,Somewhat confident (51-75%)
R_3hn1MQpb4O4wlKC,Exp,Ctrl,1,NumClust,4,3,4,3,1,1,0.3333333333333333,0.3010299956639812,Very confident (76-100%)
R_3dQSzkNCGWlgHBO,Exp,Ctrl,1,NumClust,1,2,2,3,-2,2,0.6666666666666666,0.47712125471966244,Somewhat confident (51-75%)
R_10IubgweXpWotmV,Exp,Ctrl,1,NumClust,20,2,3,3,17,17,5.666666666666667,1.255272505103306,Somewhat confident (51-75%)
R_0UIpYxjoSUtn5aV,Exp,Ctrl,1,NumClust,4,1,3,3,1,1,0.3333333333333333,0.3010299956639812,Somewhat confident (51-75%)
R_2U5ZrsyHdj3qLbg,Exp,Ctrl,1,NumClust,3,1,3,3,0,0,0,0,Somewhat confident (51-75%)
R_2WO6qswPY1xZfmu,Exp,Ctrl,1,NumClust,1,2,3,3,-2,2,0.6666666666666666,0.47712125471966244,NA
R_1lzNMXJy2mOiXMg,Exp,Ctrl,1,NumClust,4,1,8,3,1,1,0.3333333333333333,0.3010299956639812,Somewhat confident (51-75%)
