NodeID,Condition,Dataset,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted
Cir_5_76_49,Cir,5,76,49,158.33333333333334,102.08333333333333
Cir_5_31.5_246.3,Cir,5,31.5,246.3,65.625,513.125
Cir_5_71.8_52.4,Cir,5,71.8,52.4,149.58333333333334,109.16666666666667
Cir_5_67.6_56,Cir,5,67.6,56,140.83333333333334,116.66666666666667
Cir_5_36.7_255.9,Cir,5,36.7,255.9,76.45833333333333,533.125
Cir_5_118.8_24.9,Cir,5,118.8,24.9,247.5,51.875
Cir_5_59.8_63.6,Cir,5,59.8,63.6,124.58333333333333,132.5
Cir_5_45.7_269.6,Cir,5,45.7,269.6,95.20833333333333,561.6666666666666
Cir_5_49_274,Cir,5,49,274,102.08333333333333,570.8333333333334
Cir_5_52.4_278.2,Cir,5,52.4,278.2,109.16666666666667,579.5833333333334
Cir_5_113.7_27,Cir,5,113.7,27,236.875,56.25
Cir_5_59.8_286.4,Cir,5,59.8,286.4,124.58333333333333,596.6666666666666
Cir_5_63.6_290.2,Cir,5,63.6,290.2,132.5,604.5833333333334
Cir_5_67.6_294,Cir,5,67.6,294,140.83333333333334,612.5
Cir_5_108.7_29.1,Cir,5,108.7,29.1,226.45833333333334,60.625
Cir_5_71.8_297.6,Cir,5,71.8,297.6,149.58333333333334,620
Cir_5_76_301,Cir,5,76,301,158.33333333333334,627.0833333333334
Cir_5_52.4_71.8,Cir,5,52.4,71.8,109.16666666666667,149.58333333333334
Cir_5_49_76,Cir,5,49,76,102.08333333333333,158.33333333333334
Cir_5_103.7_31.5,Cir,5,103.7,31.5,216.04166666666666,65.625
Cir_5_45.7_80.4,Cir,5,45.7,80.4,95.20833333333333,167.5
Cir_5_42.5_84.8,Cir,5,42.5,84.8,88.54166666666667,176.66666666666666
Cir_5_36.7_94.1,Cir,5,36.7,94.1,76.45833333333333,196.04166666666666
Cir_5_80.4_304.3,Cir,5,80.4,304.3,167.5,633.9583333333334
Cir_5_34_98.9,Cir,5,34,98.9,70.83333333333333,206.04166666666666
Cir_5_335.2_177.7,Cir,5,335.2,177.7,698.3333333333334,370.2083333333333
Cir_5_84.8_307.5,Cir,5,84.8,307.5,176.66666666666666,640.625
Cir_5_89.4_310.5,Cir,5,89.4,310.5,186.25,646.875
Cir_5_94.1_313.3,Cir,5,94.1,313.3,196.04166666666666,652.7083333333334
Cir_5_31.5_103.7,Cir,5,31.5,103.7,65.625,216.04166666666666
Cir_5_29.1_108.7,Cir,5,29.1,108.7,60.625,226.45833333333334
Cir_5_98.9_34,Cir,5,98.9,34,206.04166666666666,70.83333333333333
Cir_5_98.9_316,Cir,5,98.9,316,206.04166666666666,658.3333333333334
Cir_5_335.2_172.3,Cir,5,335.2,172.3,698.3333333333334,358.9583333333333
Cir_5_27_113.7,Cir,5,27,113.7,56.25,236.875
Cir_5_94.1_36.7,Cir,5,94.1,36.7,196.04166666666666,76.45833333333333
Cir_5_103.7_318.5,Cir,5,103.7,318.5,216.04166666666666,663.5416666666666
Cir_5_24.9_118.8,Cir,5,24.9,118.8,51.875,247.5
Cir_5_108.7_320.9,Cir,5,108.7,320.9,226.45833333333334,668.5416666666666
Cir_5_89.4_39.5,Cir,5,89.4,39.5,186.25,82.29166666666667
Cir_5_21.5_129.1,Cir,5,21.5,129.1,44.791666666666664,268.9583333333333
Cir_5_335_166.8,Cir,5,335,166.8,697.9166666666666,347.5
Cir_5_123.9_326.9,Cir,5,123.9,326.9,258.125,681.0416666666666
Cir_5_84.8_42.5,Cir,5,84.8,42.5,176.66666666666666,88.54166666666667
Cir_5_334.7_161.3,Cir,5,334.7,161.3,697.2916666666666,336.0416666666667
Cir_5_129.1_328.5,Cir,5,129.1,328.5,268.9583333333333,684.375
Cir_5_134.4_330,Cir,5,134.4,330,280,687.5
Cir_5_139.7_331.3,Cir,5,139.7,331.3,291.0416666666667,690.2083333333334
Cir_5_20_134.4,Cir,5,20,134.4,41.666666666666664,280
Cir_5_334.1_155.9,Cir,5,334.1,155.9,696.0416666666666,324.7916666666667
Cir_5_17.6_145.1,Cir,5,17.6,145.1,36.666666666666664,302.2916666666667
Cir_5_16.6_150.5,Cir,5,16.6,150.5,34.583333333333336,313.5416666666667
Cir_5_15.3_161.3,Cir,5,15.3,161.3,31.875,336.0416666666667
Cir_5_145.1_332.4,Cir,5,145.1,332.4,302.2916666666667,692.5
Cir_5_15_166.8,Cir,5,15,166.8,31.25,347.5
Cir_5_155.9_334.1,Cir,5,155.9,334.1,324.7916666666667,696.0416666666666
Cir_5_14.8_172.3,Cir,5,14.8,172.3,30.833333333333332,358.9583333333333
Cir_5_161.3_334.7,Cir,5,161.3,334.7,336.0416666666667,697.2916666666666
Cir_5_166.8_335,Cir,5,166.8,335,347.5,697.9166666666666
Cir_5_14.8_177.7,Cir,5,14.8,177.7,30.833333333333332,370.2083333333333
Cir_5_177.7_335.2,Cir,5,177.7,335.2,370.2083333333333,698.3333333333334
Cir_5_183.2_335,Cir,5,183.2,335,381.6666666666667,697.9166666666666
Cir_5_15_183.2,Cir,5,15,183.2,31.25,381.6666666666667
Cir_5_194.1_334.1,Cir,5,194.1,334.1,404.375,696.0416666666666
Cir_5_15.3_188.7,Cir,5,15.3,188.7,31.875,393.125
Cir_5_199.5_333.4,Cir,5,199.5,333.4,415.625,694.5833333333334
Cir_5_204.9_332.4,Cir,5,204.9,332.4,426.875,692.5
Cir_5_210.3_331.3,Cir,5,210.3,331.3,438.125,690.2083333333334
Cir_5_15.9_194.1,Cir,5,15.9,194.1,33.125,404.375
Cir_5_215.6_330,Cir,5,215.6,330,449.1666666666667,687.5
Cir_5_323_113.7,Cir,5,323,113.7,672.9166666666666,236.875
Cir_5_16.6_199.5,Cir,5,16.6,199.5,34.583333333333336,415.625
Cir_5_17.6_204.9,Cir,5,17.6,204.9,36.666666666666664,426.875
Cir_5_220.9_328.5,Cir,5,220.9,328.5,460.2083333333333,684.375
Cir_5_226.1_326.9,Cir,5,226.1,326.9,471.0416666666667,681.0416666666666
Cir_5_231.2_325.1,Cir,5,231.2,325.1,481.6666666666667,677.2916666666666
Cir_5_236.3_323,Cir,5,236.3,323,492.2916666666667,672.9166666666666
Cir_5_316_98.9,Cir,5,316,98.9,658.3333333333334,206.04166666666666
Cir_5_246.3_318.5,Cir,5,246.3,318.5,513.125,663.5416666666666
Cir_5_251.1_316,Cir,5,251.1,316,523.125,658.3333333333334
Cir_5_313.3_94.1,Cir,5,313.3,94.1,652.7083333333334,196.04166666666666
Cir_5_20_215.6,Cir,5,20,215.6,41.666666666666664,449.1666666666667
Cir_5_260.6_310.5,Cir,5,260.6,310.5,542.9166666666666,646.875
Cir_5_24.9_231.2,Cir,5,24.9,231.2,51.875,481.6666666666667
Cir_5_278.2_297.6,Cir,5,278.2,297.6,579.5833333333334,620
Cir_5_297.6_71.8,Cir,5,297.6,71.8,620,149.58333333333334
Cir_5_282.4_294,Cir,5,282.4,294,588.3333333333334,612.5
Cir_5_286.4_290.2,Cir,5,286.4,290.2,596.6666666666666,604.5833333333334
Cir_5_290.2_286.4,Cir,5,290.2,286.4,604.5833333333334,596.6666666666666
Cir_5_294_67.6,Cir,5,294,67.6,612.5,140.83333333333334
Cir_5_294_282.4,Cir,5,294,282.4,612.5,588.3333333333334
Cir_5_27_236.3,Cir,5,27,236.3,56.25,492.2916666666667
Cir_5_297.6_278.2,Cir,5,297.6,278.2,620,579.5833333333334
Cir_5_307.5_265.2,Cir,5,307.5,265.2,640.625,552.5
Cir_5_265.2_42.5,Cir,5,265.2,42.5,552.5,88.54166666666667
Cir_5_260.6_39.5,Cir,5,260.6,39.5,542.9166666666666,82.29166666666667
Cir_5_310.5_260.6,Cir,5,310.5,260.6,646.875,542.9166666666666
Cir_5_313.3_255.9,Cir,5,313.3,255.9,652.7083333333334,533.125
Cir_5_320.9_241.3,Cir,5,320.9,241.3,668.5416666666666,502.7083333333333
Cir_5_251.1_34,Cir,5,251.1,34,523.125,70.83333333333333
Cir_5_325.1_231.2,Cir,5,325.1,231.2,677.2916666666666,481.6666666666667
Cir_5_326.9_226.1,Cir,5,326.9,226.1,681.0416666666666,471.0416666666667
Cir_5_328.5_220.9,Cir,5,328.5,220.9,684.375,460.2083333333333
Cir_5_215.6_20,Cir,5,215.6,20,449.1666666666667,41.666666666666664
Cir_5_210.3_18.7,Cir,5,210.3,18.7,438.125,38.958333333333336
Cir_5_332.4_204.9,Cir,5,332.4,204.9,692.5,426.875
Cir_5_204.9_17.6,Cir,5,204.9,17.6,426.875,36.666666666666664
Cir_5_194.1_15.9,Cir,5,194.1,15.9,404.375,33.125
Cir_5_177.7_14.8,Cir,5,177.7,14.8,370.2083333333333,30.833333333333332
Cir_6_153.6_15.9,Cir,6,153.6,15.9,320,33.125
Cir_6_95.1_35.8,Cir,6,95.1,35.8,198.125,74.58333333333333
Cir_6_144.1_17.5,Cir,6,144.1,17.5,300.2083333333333,36.458333333333336
Cir_6_130.2_20.9,Cir,6,130.2,20.9,271.25,43.541666666666664
Cir_6_23.4_122.2,Cir,6,23.4,122.2,48.75,254.58333333333334
