Condition,Dataset,MaxValue,NodeID,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted,NodeValue,Task,NodeRank,correct
Ctrl,1,29,Ctrl_1_141.5_259.8,141.5,259.8,294.7916666666667,541.25,26,ClickHighDeg,2,FALSE
Ctrl,1,29,Ctrl_1_191.9_301.9,191.9,301.9,399.7916666666667,628.9583333333334,25,ClickHighDeg,3,FALSE
Ctrl,1,29,Ctrl_1_271.3_226.1,271.3,226.1,565.2083333333334,471.0416666666667,25,ClickHighDeg,3,FALSE
Ctrl,1,29,Ctrl_1_261.4_289.9,261.4,289.9,544.5833333333334,603.9583333333334,25,ClickHighDeg,3,FALSE
Ctrl,1,29,Ctrl_1_195.5_206.4,195.5,206.4,407.2916666666667,430,25,ClickHighDeg,3,FALSE
Ctrl,1,29,Ctrl_1_226.6_233.9,226.6,233.9,472.0833333333333,487.2916666666667,25,ClickHighDeg,3,FALSE
Ctrl,1,29,Ctrl_1_150.4_26.8,150.4,26.8,313.3333333333333,55.833333333333336,2,ClickHighDeg,5,FALSE
Ctrl,1,29,Ctrl_1_254.7_208,254.7,208,530.625,433.3333333333333,25,ClickHighDeg,3,FALSE
Ctrl,3,10,Ctrl_3_270.6_136.4,270.6,136.4,563.75,284.1666666666667,8,ClickHighDeg,3,FALSE
Ctrl,3,10,Ctrl_3_39.3_211,39.3,211,81.875,439.5833333333333,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_315.2_261.3,315.2,261.3,656.6666666666666,544.375,3,ClickHighDeg,8,FALSE
Ctrl,3,10,Ctrl_3_178.6_129.1,178.6,129.1,372.0833333333333,268.9583333333333,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_247.8_201.3,247.8,201.3,516.25,419.375,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_164.9_121.3,164.9,121.3,343.5416666666667,252.70833333333334,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_140.8_141.5,140.8,141.5,293.3333333333333,294.7916666666667,6,ClickHighDeg,5,FALSE
Ctrl,3,10,Ctrl_3_242.7_245.1,242.7,245.1,505.625,510.625,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_293.6_78.7,293.6,78.7,611.6666666666666,163.95833333333334,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_133.6_86.6,133.6,86.6,278.3333333333333,180.41666666666666,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_242.4_216.9,242.4,216.9,505,451.875,8,ClickHighDeg,3,FALSE
Ctrl,3,10,Ctrl_3_225.3_237.8,225.3,237.8,469.375,495.4166666666667,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_173.4_161.6,173.4,161.6,361.25,336.6666666666667,5,ClickHighDeg,6,FALSE
Ctrl,3,10,Ctrl_3_269.9_211,269.9,211,562.2916666666666,439.5833333333333,9,ClickHighDeg,2,FALSE
Ctrl,3,10,Ctrl_3_278.8_236.3,278.8,236.3,580.8333333333334,492.2916666666667,3,ClickHighDeg,8,FALSE
Ctrl,3,10,Ctrl_3_61.4_196.9,61.4,196.9,127.91666666666667,410.2083333333333,6,ClickHighDeg,5,FALSE
Ctrl,3,10,Ctrl_3_286.2_228.4,286.2,228.4,596.25,475.8333333333333,3,ClickHighDeg,8,FALSE
Ctrl,3,10,Ctrl_3_284.7_98.3,284.7,98.3,593.125,204.79166666666666,8,ClickHighDeg,3,FALSE
Ctrl,3,10,Ctrl_3_161.5_142.1,161.5,142.1,336.4583333333333,296.0416666666667,10,ClickHighDeg,1,TRUE
Ctrl,3,10,Ctrl_3_236.3_237.7,236.3,237.7,492.2916666666667,495.2083333333333,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_38.8_120.7,38.8,120.7,80.83333333333333,251.45833333333334,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_51.5_139.2,51.5,139.2,107.29166666666667,290,7,ClickHighDeg,4,FALSE
Ctrl,3,10,Ctrl_3_144.1_114.5,144.1,114.5,300.2083333333333,238.54166666666666,8,ClickHighDeg,3,FALSE
Ctrl,3,10,Ctrl_3_78.6_156.5,78.6,156.5,163.75,326.0416666666667,7,ClickHighDeg,4,FALSE
Ctrl,3,10,Ctrl_3_163_138.2,163,138.2,339.5833333333333,287.9166666666667,10,ClickHighDeg,1,TRUE
